timestamp,open,high,low,close,volume
1771650900000,67598.37,67598.37,67598.37,67598.37,0
1771651800000,67598.37,67821.1,67598.37,67821.1,2.19040223
1771652700000,67821.1,67859.37,67795,67849.8,5.310323
1771653600000,67849.8,67881.38,67837.24,67881.38,1.01080487
1771654500000,67881.38,67881.38,67859.39,67859.39,0.09363226
1771655400000,67859.39,67859.39,67731.92,67763.42,0.1062494
1771656300000,67763.42,67763.42,67751.31,67763.41,0.00410473
1771657200000,67763.41,67830.61,67756.64,67830.61,0.00276093
1771658100000,67830.61,67838.86,67802.82,67833.23,0.02502512
1771659000000,67833.23,67855.84,67814.49,67847.47,0.03029856
1771659900000,67847.47,67847.47,67847.47,67847.47,0
1771660800000,67847.47,67881.29,67818.72,67881.29,0.00266274
1771661700000,67881.29,67962.83,67881.29,67944.69,6.30776822
1771662600000,67944.69,67965.92,67914.1,67938.5,0.27165026
1771663500000,67938.5,68038.79,67938.5,68038.79,3.8972942
1771664400000,68038.79,68038.79,67973.7,67988.12,0.09427653
1771665300000,67988.12,68230.23,67988.12,68230.23,19.91203502
1771666200000,68230.23,68262.01,68125.01,68202.42,0.95349949
1771667100000,68202.42,68202.42,68121.39,68121.39,0.21137902
1771668000000,68121.39,68194.6,68121.39,68163.44,0.01173399
1771668900000,68163.44,68179.67,68129.1,68170.48,0.00358771
1771669800000,68170.48,68193.69,68170.48,68174.8,0.00522262
1771670700000,68174.8,68184.74,68147.41,68147.41,0.00456953
1771671600000,68147.41,68224.32,68147.41,68224.32,0.01363811
1771672500000,68224.32,68247.82,68162.3,68179.22,0.42773891
1771673400000,68179.22,68179.22,68098.47,68098.47,0.007558
1771674300000,68098.47,68098.47,68080.4,68088.8,0.10522973
1771675200000,68088.8,68090,67956.7,67956.7,0.39809122
1771676100000,67956.7,67993.79,67948.63,67958.7,0.47735873
1771677000000,67958.7,68014.2,67914.68,68014.2,1.80026108
1771677900000,68014.2,68192.73,68012.1,68192.73,0.05395228
1771678800000,68192.73,68192.73,68128.73,68128.73,0.09730332
1771679700000,68128.73,68225.75,68096.91,68211.14,0.6991833
1771680600000,68211.14,68216.57,68149.96,68149.96,0.12135073
1771681500000,68149.96,68231.7,68133.5,68231.7,0.41187902
1771682400000,68231.7,68231.7,68177.43,68219.65,0.15212809
1771683300000,68219.65,68575.63,68207.21,68415.24,8.44584296
1771684200000,68415.24,68594.22,68407.42,68536.59,2.04711571
1771685100000,68536.59,68538.38,68432.62,68432.62,0.84826074
1771686000000,68432.62,68487.92,68429.25,68487.92,4.32884421
1771686900000,68487.92,68539.34,68453.82,68453.82,0.15962189
1771687800000,68453.82,68667.7,68415.88,68599.71,1.18462734
1771688700000,68599.71,68660.51,68583.58,68639.3,1.18304636
1771689600000,68639.3,68639.3,68300,68334.99,0.89820376
1771690500000,68334.99,68334.99,68098.12,68227.31,1.59755788
1771691400000,68227.31,68332.3,68129.75,68315.22,0.72383956
1771692300000,68315.22,68315.22,68309.15,68309.15,0.00890767
1771693200000,68309.15,68309.15,68237.8,68237.8,0.41016124
1771694100000,68237.8,68312.27,68183.32,68273.96,5.51304378
1771695000000,68273.96,68432.71,68261.19,68432.71,0.36537583
1771695900000,68432.71,68461.36,68382.6,68385.24,3.49335514
1771696800000,68385.24,68438.5,68385.24,68404.51,3.97594551
1771697700000,68404.51,68522.29,68404.51,68479.79,2.03471477
