timestamp,open,high,low,close,volume
1768287600000,92120.74,92120.74,91806.64,91859.66,4.64211153
1768291200000,91859.66,92158.28,91829.99,92087.53,2.62662867
1768294800000,92087.53,92564.57,91877.2,92157.09,11.62502555
1768298400000,92157.09,92251.53,91934.8,92042.77,6.2189952
1768302000000,92042.77,92160.69,91881.99,91898.68,4.96907458
1768305600000,91898.68,92060.01,91827.22,91994.72,4.09710411
1768309200000,91994.72,92500,91905.11,92004,38.08966973
1768312800000,92004,92828.01,91714.19,92409.55,28.74998887
1768316400000,92409.55,93420.03,92065.67,93420.03,45.84118859
1768320000000,93420.03,93746.12,93079.9,93398.85,28.81464677
1768323600000,93398.85,93478.2,93085.45,93220.43,19.10850362
1768327200000,93220.43,93843.1,93182.68,93609.07,16.99951455
1768330800000,93609.07,94239,93448,94221.49,18.66744092
1768334400000,94221.49,94499,94139.97,94455.58,33.91866964
1768338000000,94455.58,94500,94078.61,94101.92,21.88885121
1768341600000,94101.92,96434.9,94089.38,95697.43,94.62397951
1768345200000,95697.43,96067.16,95046.6,95378.37,26.66784059
1768348800000,95378.37,95601.5,95152.08,95203.03,41.24444056
1768352400000,95203.03,95554,95106.47,95220.06,29.51834855
1768356000000,95220.06,95530.25,95187.66,95315.66,27.68325466
1768359600000,95315.66,95687.95,95262.55,95687.95,28.36924877
1768363200000,95687.95,95778.89,95206,95211.99,8.40696538
1768366800000,95211.99,95248.01,94966.87,94997.19,11.68411634
1768370400000,94997.19,95020,94537.88,95020,11.92005549
1768374000000,95020,95211.33,94857.97,95198.01,12.17942875
1768377600000,95198.01,95306.61,94876.65,94876.65,6.50819705
1768381200000,94876.65,95182.01,94865.9,95073.14,4.68268934
1768384800000,95073.14,95284.2,94875.28,95071.16,3.50266563
1768388400000,95071.16,95077.06,94701.49,94753.68,9.89955377
1768392000000,94753.68,95126.02,94678.35,95042.85,6.58342025
1768395600000,95042.85,95203.53,94880.03,94949.51,13.19927741
1768399200000,94949.51,96812.7,94949.51,96472.34,34.20663325
1768402800000,96472.34,97051.5,96192.03,96795.78,33.28066432
1768406400000,96795.78,97683.16,96758,97325.45,36.2330748
1768410000000,97325.45,97810.24,96872.6,96973,28.02017708
